,index,store_ID,day_of_week,nb_customers_on_day,open,promotion,state_holiday,school_holiday,month,year,sales
0,272371,415,7,0,0,0,0,0,3,2015,127.04358
1,558468,27,7,0,0,0,0,0,12,2013,12.424799
2,76950,404,3,657,1,1,0,0,3,2014,6551.721
3,77556,683,2,862,1,0,0,0,1,2013,7619.5586
4,456344,920,3,591,1,1,0,0,3,2014,5993.7017
5,436466,758,4,569,1,0,0,0,6,2014,5033.323
6,646251,563,1,321,1,1,0,0,2,2015,4102.282
7,650464,930,6,1367,1,0,0,0,11,2014,7836.651
8,162710,756,4,0,0,1,1,0,6,2015,55.153576
9,100327,49,2,546,1,1,0,0,1,2015,8040.4
10,374540,787,4,968,1,0,0,1,7,2015,8341.403
11,399143,782,4,472,1,0,0,0,9,2013,4058.5034
12,44740,897,7,0,0,0,0,0,4,2014,-20.584757
13,674144,933,1,965,1,0,0,0,12,2013,7852.6855
14,81595,218,2,804,1,0,0,1,4,2015,5925.3135
15,416724,554,3,499,1,1,0,1,10,2013,4013.3833
16,632687,362,1,1337,1,1,0,1,8,2013,13017.614
17,351899,655,3,560,1,0,0,0,4,2014,5010.553
18,515940,785,3,461,1,0,0,1,12,2014,4129.008
19,567411,690,3,866,1,1,0,0,3,2014,7535.7666
20,274598,1103,7,0,0,0,0,0,2,2015,23.58701
21,417880,431,1,1367,1,1,0,0,6,2014,15630.981
22,453710,127,2,642,1,1,0,0,9,2013,6426.9556
23,597622,579,5,0,0,1,2,1,3,2013,-64.03044
24,223346,248,6,1139,1,0,0,0,8,2013,7914.109
25,630018,962,6,0,0,0,0,0,1,2014,-8.066572
26,355860,224,2,515,1,1,0,1,3,2013,6100.167
27,360080,208,3,355,1,1,0,1,6,2013,3097.7205
28,129544,401,1,1063,1,1,0,0,3,2015,11858.647
29,422545,503,7,0,0,0,0,0,9,2013,22.73436
30,174199,221,4,562,1,1,0,0,3,2015,5688.622
31,118613,268,7,0,0,0,0,0,11,2014,-46.684128
32,60310,799,2,927,1,1,0,1,8,2013,9737.859
33,328458,260,6,894,1,0,0,0,10,2014,6624.697
34,200661,1041,2,594,1,0,0,0,3,2015,4562.976
35,179581,350,2,533,1,1,0,0,6,2013,6686.0225
36,587612,286,7,0,0,0,0,0,4,2015,30.51182
37,320169,620,2,709,1,1,0,0,6,2013,6956.8643
38,37194,521,1,484,1,1,0,0,6,2013,5774.356
39,685427,649,4,435,1,1,0,0,11,2014,4299.94
40,125422,1059,2,1239,1,1,0,0,6,2015,10731.157
41,24499,486,6,373,1,0,0,0,6,2014,3408.7263
42,281806,252,4,642,1,0,0,0,10,2013,6208.399
43,540511,656,3,421,1,1,0,0,5,2013,4011.846
44,28689,642,5,394,1,0,0,0,9,2014,3062.3215
45,165066,655,5,761,1,1,0,0,5,2015,7663.389
46,555963,992,3,627,1,0,0,0,6,2013,5125.0415
47,610614,143,2,731,1,1,0,0,6,2015,8143.3223
48,64013,421,5,941,1,1,0,1,7,2014,7668.2617
49,30639,246,4,1157,1,1,0,0,10,2014,8910.082
50,418604,960,1,720,1,1,0,0,4,2014,7697.4365
51,468037,313,5,697,1,0,0,0,1,2014,6411.506
52,271589,291,6,534,1,0,0,0,6,2013,4854.523
53,77924,924,6,333,1,0,0,0,5,2014,3344.137
54,247149,337,2,430,1,1,0,1,8,2013,5703.4834
55,576822,1024,4,607,1,0,0,0,3,2015,4923.132
56,108538,56,3,402,1,1,0,0,1,2014,5757.322
57,645670,507,3,532,1,0,0,0,4,2014,5389.5425
58,601663,970,5,406,1,0,0,0,3,2013,2786.0647
59,502588,846,2,828,1,0,0,0,6,2015,6851.6245
60,66732,549,3,582,1,0,0,0,8,2014,4775.207
61,627113,1095,4,852,1,1,0,1,3,2013,8639.376
62,691184,859,5,709,1,1,0,0,4,2013,6109.202
63,467913,914,2,1178,1,1,0,1,7,2014,11056.471
64,304890,888,2,634,1,0,0,0,6,2015,6143.429
65,274018,442,2,517,1,1,0,0,11,2014,5706.551
66,644430,34,6,905,1,0,0,0,3,2013,8333.026
67,669009,199,4,581,1,0,0,0,7,2014,6411.883
68,518722,854,4,657,1,1,1,0,6,2015,6329.9443
69,505976,611,2,485,1,1,0,0,1,2014,6445.9473
70,291572,808,4,528,1,0,0,1,4,2015,5933.8315
71,39071,1105,4,410,1,0,0,0,1,2015,4289.602
72,319154,866,5,445,1,0,0,0,4,2015,5181.4106
73,166603,222,6,367,1,0,0,0,9,2013,3438.3496
74,428262,476,2,753,1,1,0,0,9,2013,7167.1304
